NAME,year,month,fire_count,avg_frp
Glenn,2015,2,14,6.987142857142857
Glenn,2015,3,78,7.4107692307692306
Glenn,2015,4,23,6.203913043478261
Glenn,2015,5,12,1.9433333333333334
Glenn,2015,6,5,6.372
Glenn,2015,7,3,13.153333333333334
Glenn,2015,8,2,0.6799999999999999
Glenn,2015,9,17,22.400000000000002
Glenn,2015,10,105,20.445999999999998
Glenn,2015,11,62,10.848225806451614
Glenn,2015,12,6,2.986666666666667
Glenn,2016,2,16,12.098749999999999
Glenn,2016,3,24,7.076666666666667
Glenn,2016,4,23,5.915217391304348
Glenn,2016,5,23,5.219130434782609
Glenn,2016,6,22,18.865909090909092
Glenn,2016,7,26,8.878846153846153
Glenn,2016,8,10,6.5920000000000005
Glenn,2016,9,22,16.48818181818182
Glenn,2016,10,41,6.720975609756097
Glenn,2016,11,24,10.408333333333333
Glenn,2016,12,3,4.943333333333333
Glenn,2017,2,4,3.085
Glenn,2017,3,23,11.508695652173913
Glenn,2017,4,70,7.238857142857142
Glenn,2017,5,41,7.41439024390244
Glenn,2017,6,8,7.32125
Glenn,2017,7,4,4.1425
Glenn,2017,8,12,30.36583333333333
Glenn,2017,9,21,7.7995238095238095
Glenn,2017,10,57,8.176140350877194
Glenn,2017,11,36,8.217222222222222
Glenn,2017,12,42,8.968809523809524
Glenn,2018,1,3,2.64
Glenn,2018,2,83,6.702409638554216
Glenn,2018,3,36,6.462222222222222
Glenn,2018,4,47,7.8627659574468085
Glenn,2018,5,9,2.7211111111111115
Glenn,2018,6,24,13.58375
Glenn,2018,7,6,10.261666666666668
Glenn,2018,8,2156,12.750259740259741
Glenn,2018,9,263,6.873726235741445
Glenn,2018,10,53,12.807169811320755
Glenn,2018,11,44,10.875
Glenn,2018,12,46,7.1041304347826095
Glenn,2019,1,12,3.964166666666667
Glenn,2019,2,4,3.78
Glenn,2019,3,16,4.65625
Glenn,2019,4,99,7.050909090909091
Glenn,2019,5,134,13.161492537313434
Glenn,2019,6,78,14.185641025641026
Glenn,2019,7,34,9.605882352941178
Glenn,2019,8,14,5.678571428571429
Glenn,2019,9,47,10.856808510638297
Glenn,2019,10,67,8.482089552238806
Glenn,2019,11,120,17.90125
Glenn,2019,12,11,6.352727272727273
Glenn,2020,1,24,7.095416666666666
Glenn,2020,2,224,7.846964285714286
Glenn,2020,3,179,14.58659217877095
Glenn,2020,4,85,11.010823529411764
Glenn,2020,5,19,4.458947368421053
Glenn,2020,6,16,6.8374999999999995
Glenn,2020,7,13,3.379230769230769
Glenn,2020,8,6523,23.76526291583627
Glenn,2020,9,3205,28.2842496099844
Glenn,2020,10,62,11.49016129032258
Glenn,2020,11,157,20.18343949044586
Glenn,2020,12,164,16.273170731707317
Humboldt,2015,1,20,6.523999999999999
Humboldt,2015,2,1,2.22
Humboldt,2015,3,2,3.85
Humboldt,2015,5,1,0.36
Humboldt,2015,6,19,6.428421052631578
Humboldt,2015,7,98,22.150510204081634
Humboldt,2015,8,3085,7.097222042139384
Humboldt,2015,9,63,9.67746031746032
Humboldt,2015,10,7,3.165714285714286
Humboldt,2015,11,18,6.432222222222222
Humboldt,2015,12,3,2.67
Humboldt,2016,1,2,0.97
Humboldt,2016,2,3,3.0499999999999994
Humboldt,2016,3,2,4.655
Humboldt,2016,4,2,2.245
Humboldt,2016,6,4,1.2475
Humboldt,2016,7,4,0.8575
Humboldt,2016,8,20,2.583
Humboldt,2016,9,2,16.28
Humboldt,2016,10,51,11.101764705882355
Humboldt,2016,11,23,5.7013043478260865
Humboldt,2016,12,5,3.558
Humboldt,2017,3,1,2.61
Humboldt,2017,5,1,1.96
Humboldt,2017,6,4,1.945
Humboldt,2017,8,10,14.463999999999999
Humboldt,2017,9,1,0.6
Humboldt,2017,10,23,6.649130434782609
Humboldt,2017,11,29,5.159655172413793
Humboldt,2017,12,2,2.37
Humboldt,2018,1,4,2.74
Humboldt,2018,2,16,5.310625
Humboldt,2018,3,1,2.5
Humboldt,2018,4,23,5.01304347826087
Humboldt,2018,5,1,2.65
Humboldt,2018,6,2,5.24
Humboldt,2018,7,2,1.5
Humboldt,2018,8,227,5.286872246696035
Humboldt,2018,9,16,11.808125
Humboldt,2018,10,48,3.904375
Humboldt,2018,11,18,6.552222222222222
Humboldt,2018,12,14,5.445714285714286
Humboldt,2019,1,9,3.83
Humboldt,2019,3,3,5.33
Humboldt,2019,4,8,5.4675
Humboldt,2019,5,2,6.8149999999999995
Humboldt,2019,7,2,1.815
Humboldt,2019,8,1,0.29
Humboldt,2019,9,3,1.5899999999999999
Humboldt,2019,10,12,9.538333333333332
Humboldt,2019,11,7,12.152857142857142
Humboldt,2019,12,22,4.917727272727273
Humboldt,2020,1,3,0.6733333333333333
Humboldt,2020,2,8,5.203749999999999
Humboldt,2020,3,9,3.6955555555555555
Humboldt,2020,4,2,1.76
Humboldt,2020,5,7,3.237142857142857
Humboldt,2020,7,65,9.764
Humboldt,2020,8,1266,9.909770932069511
Humboldt,2020,9,4106,18.2523161227472
Humboldt,2020,10,148,4.581824324324325
Humboldt,2020,11,70,5.41
Humboldt,2020,12,71,6.973098591549295
Imperial,2015,1,42,45.990952380952386
Imperial,2015,2,27,19.622592592592596
Imperial,2015,3,9,19.641111111111112
Imperial,2015,4,4,0.8275
Imperial,2015,5,18,43.48166666666666
Imperial,2015,6,16,13.808125
Imperial,2015,7,53,26.165283018867925
Imperial,2015,8,26,23.025769230769235
Imperial,2015,9,14,4.742142857142857
Imperial,2015,10,27,22.77777777777778
Imperial,2015,11,32,6.7090625
Imperial,2015,12,22,20.81409090909091
Imperial,2016,1,22,8.790454545454546
Imperial,2016,2,32,8.436875
Imperial,2016,3,24,7.190833333333334
Imperial,2016,4,9,7.458888888888889
Imperial,2016,5,5,47.662
Imperial,2016,6,68,26.258529411764705
